county_code,D2,D1,reform_pivot,gdp_growth_outcome,ln_gdppc_outcome,fiscal_autonomy_pre,primary_ratio_pre,secondary_ratio_pre,ln_pop_pre,gov_scale_pre,region_val
421125,1,1,2002,,8.4569473,.80619138,29.220768,40.760155,4.6232991,6.3804836,2
421126,1,0,2002,,8.5730438,.82154626,25.663771,43.431881,4.556344,6.1243629,2
421127,1,1,2002,,8.4549065,.80928111,29.396645,48.265991,4.5753708,5.7452869,2
421181,1,1,2002,,8.3675308,.55158585,25.60515,40.991577,4.7409835,7.2445941,2
421182,1,1,2002,,8.9469318,.78414881,19.034878,48.497101,4.2831459,6.1562667,2
421221,1,1,2002,,9.1912069,.71940202,35.105003,39.097099,3.5857201,6.4114881,2
421222,1,1,2002,,8.6638699,.63427055,28.144379,34.902046,3.7879891,7.1537747,2
421223,1,0,2002,,8.7452059,.73788559,30.15447,40.106232,3.8359041,7.5562754,2
421224,1,0,2002,,8.2044859,.6076104,34.45591,33.492172,3.6861784,9.8191452,2
421281,1,1,2002,,9.5619116,.8173911,17.664257,49.490974,3.9375854,5.0795345,2
421321,0,0,2007,,,,,,,,2
421381,1,1,2002,,9.0363598,.54078078,30.371302,42.322823,4.4995193,7.5494337,2
422801,0,1,2007,17.60656,9.1070871,.34156296,32.326775,27.695532,4.3545389,12.305337,2
422802,0,1,2007,18.286497,8.7050257,.29770872,43.871105,31.2372,4.4398503,15.62873,2
422822,0,0,2007,21.716608,8.8452635,.23011421,49.467564,18.714819,3.9278963,20.047499,2
422823,0,0,2007,26.180065,9.0612526,.25627068,40.024338,19.739292,3.878809,16.483448,2
422825,0,0,2007,18.45789,8.8944931,.20351757,43.469181,22.14727,3.5380454,17.35046,2
422826,0,0,2007,25.223909,8.9813023,.2159844,48.312813,20.462524,3.5908754,17.921375,2
422827,0,0,2007,20.326843,8.9813528,.27194214,42.102661,23.258656,3.4339838,19.316429,2
422828,0,0,2007,19.369408,9.1763897,.19281195,34.333206,36.248478,3.0757656,19.095264,2
