year,county_code,D1,D2,gdp_growth_pc,ln_fiscal_exp_pc,fiscal_autonomy,primary_ratio,secondary_ratio,ln_pop,gov_scale,region
2012,530922,1,0,33.16953316953317,8.380533099990165,.2068837256700296,29.75890103728623,47.32268012335295,3.80666248977032,27.51051303616484,西部
2013,530922,1,0,15.42817152309454,8.504236892619485,.2325480733809769,29.26829268292683,47.69379376962086,3.784189633918261,26.22168558319247,西部
2014,530922,1,0,1.466130187951276,8.523897937018642,.1816778038649088,31.32986275437766,41.4931377188831,3.784189633918261,26.20444865120681,西部
2015,530922,1,0,6.703242978977674,8.615803704249219,.1720675453047776,30.36285430682695,40.49851108415132,3.784189633918261,26.77842726370354,西部
2016,530922,1,0,7.371582752125438,8.807145412402557,.1513945578231292,29.95910020449898,39.5398773006135,3.784189633918261,30.06134969325153,西部
2017,530922,1,0,8.150395903465933,8.817836359347481,.1559092744649347,28.9756649688738,39.87926806262969,3.784189633918261,28.02867383512545,西部
2018,530922,1,0,.131521262604121,8.902402719128084,.1560011002781259,30.59292376884489,34.85223477439357,3.795893601768418,31.09751345350723,西部
2019,530922,1,0,13.61208406304729,8.957147002973295,.158166621071809,32.2144875082351,28.38250178736838,3.790103928131789,28.36722866261915,西部
2020,530922,1,0,28.7525530848973,8.822624589848646,.1877561765627187,34.63713312248858,26.98362133504454,3.789199789375322,22.92447785366152,西部
2021,530922,1,0,10.90990721340916,8.512748941209773,.2641350786292155,33.32566461633061,28.05628001692695,3.788724789083652,15.33882831764383,西部
2022,530922,1,0,11.15099176899204,8.635456919602261,.1736902257096588,33.08402938994328,29.35964891286685,3.784189633918261,15.59555195578156,西部
2001,530923,0,0,6.517690875232775,6.041072828908855,.2284588506430749,52.71739130434783,17.39130434782609,3.465735902799727,24.36775362318841,西部
2002,530923,0,0,7.400932400932401,6.19169322570315,.2048885239689257,49.32885906040269,18.95973154362416,3.478158422798284,26.56543624161074,西部
2003,530923,0,0,12.85946825827455,6.218419009485674,.2344382056390751,47.5609756097561,19.96951219512195,3.49650756146648,25.2484756097561,西部
2004,530923,0,0,15.57692307692308,6.374508450922685,.166520324363411,43.45738295318127,26.17046818727491,3.49650756146648,23.24249699879952,西部
2005,530923,0,0,9.10981697171381,6.598426455640603,.1309248554913295,42.84199363732768,27.1474019088017,3.49650756146648,25.68398727465536,西部
2006,530923,0,0,15.32596263820053,6.820677784104289,.120338534779159,42.47948951686418,28.16773017319963,3.49650756146648,27.57338195077484,西部
2007,530923,0,0,22.54545454545455,7.168299706732642,.1085656905329036,43.67135455218357,27.53515914137676,3.49650756146648,31.69652109548483,西部
2008,530923,0,0,17.77717831130294,7.393592710764185,.1080229960818778,42.83030682529743,27.61427676894176,3.514526066969159,34.20037570444583,西部
2009,530923,0,0,14.75034356390288,7.691253840737795,.0982399570065834,40.96581660336408,22.89744981009224,3.526360524616162,40.38524145415084,西部
2010,530923,0,0,26.46706586826347,8.068277637434125,.0958587721339946,36.48417450812661,28.6142001710864,3.555348061489414,47.77844311377245,西部
2011,530923,0,0,21.11742424242424,8.363555713211829,.1071916416239664,34.50333450333451,33.83643383643384,3.555348061489414,52.67707967707967,西部
2012,530923,0,0,24.6677091477717,8.602935668454631,.1280924334048367,32.1758611033324,38.53262391486979,3.555348061489414,53.39316718006161,西部
2013,530923,0,0,17.39312219086443,8.734960028358616,.1448176967234588,31.58519221642145,38.9890840056953,3.555348061489414,51.63194114855244,西部
2014,530923,0,0,10.70251981123675,8.779630102817526,.2172320814299816,31.07272339518021,31.98976327575176,3.58351893845611,49.90765621667733,西部
2015,530923,0,0,8.606128850639427,8.996916670876628,.1445664330291208,29.38073842547372,32.23285798007423,3.367295829986474,45.76401640945497,西部
2016,530923,0,0,9.390505813522921,8.675226799102878,.1369291850277729,28.34310069259456,32.78280944770023,3.58351893845611,37.43864322500444,西部
2017,530923,0,0,9.369710920046035,8.743527203349565,.1374983940208844,27.01828183141887,32.59990292832875,3.58351893845611,36.51820093835949,西部
2018,530923,0,0,9.69359331476323,8.834415823999745,.1399598401654682,27.91087255260404,30.63027143559551,3.588810469136422,39.16259029992814,西部
2019,530923,0,0,12.35821906212968,8.955929522949237,.1037699458908545,28.12246722755865,24.8707142222199,3.595776835851612,36.93952196943156,西部
2020,530923,0,0,26.27693234895284,8.922572326247405,.1196653117671378,30.16097432651085,23.92524621828652,3.595859150540715,32.83258838212453,西部
2021,530923,0,0,11.64936562860438,8.498420827736737,.1882014002880976,29.40965644360248,25.40402219276066,3.597312260588446,19.51137144768219,西部
2022,530923,0,0,9.63237389569678,8.632941726446608,.1590644288451724,30.54683637852602,25.96791187500312,3.610917912644224,20.74313021506934,西部
2001,530924,0,0,6.941230911614992,6.529327593223611,.2019344830732731,49.6,17.86666666666667,2.772588722239781,29.224,西部
2002,530924,0,0,9.649502379922112,6.549349994463229,.2084586637498861,46.24697336561744,19.8547215496368,2.753660712354262,26.56416464891041,西部
2003,530924,0,0,16.17995264404104,7.083178094084935,.1288021816656178,43.98249452954048,24.07002188183807,2.772588722239781,41.72428884026258,西部
2004,530924,0,0,25.54347826086957,7.05033932243793,.1110448731844786,39.6551724137931,32.58620689655172,2.772588722239781,31.81379310344827,西部
2005,530924,0,0,12.71645021645022,7.062566454919522,.1189035815621821,36.43949930458971,31.57162726008345,2.772588722239781,25.97913769123783,西部
2006,530924,0,0,.5760921747479597,7.277334108525893,.1477498488382137,33.5632183908046,34.59770114942528,2.772588722239781,26.61379310344827,西部
2007,530924,0,0,47.66109785202864,7.573561490207601,.1420366955838346,32.35294117647059,38.23529411764706,2.833213344056216,31.38804554079697,西部
2008,530924,0,0,11.54032649102958,7.894679555904032,.1270640854774221,30.48264182895851,41.91363251481795,2.803360380906535,37.48433530906012,西部
2009,530924,0,0,22.59092885089117,8.246186986837809,.1001049026565055,26.6803840877915,39.02606310013718,2.833213344056216,44.45953360768176,西部
2010,530924,0,0,11.39479905437352,8.419690610055,.1121522801602175,27.32207478890229,39.80699638118215,2.890371757896165,49.2394451145959,西部
2011,530924,0,0,30.2207130730051,8.746398334109042,.1486694232400339,25.50023266635644,44.76500697999069,2.890371757896165,52.66821777570964,西部
2012,530924,0,0,31.65743155149935,8.983586143338256,.1860943260780173,21.55501561957654,52.06525511975008,2.890371757896165,49.80249913224575,西部
2013,530924,0,0,15.59695488023767,9.141383214137205,.2115519683820816,22.15265354800238,51.28205128205128,2.890371757896165,50.0912343470483,西部
2014,530924,0,0,-2.53252663704021,9.262300110906894,.1584810126582278,24.61305007587253,33.50531107738999,2.890371757896165,57.54172989377845,西部
2015,530924,0,0,5.943748626675456,9.263386018985537,.1583300844019683,23.98975526465566,31.58793397837222,2.890371757896165,54.01422879908936,西部
2016,530924,0,0,10.53095509696153,9.20019463314323,.1790630980508803,22.97262727040164,31.54259401381427,2.890371757896165,45.58275773855206,西部
2017,530924,0,0,11.54008537786743,9.253586093562209,.1553722965603469,21.71037628278221,33.18129988597492,2.890371757896165,42.86316989737742,西部
2018,530924,0,0,4.592673592126846,9.326576758738012,.1555089779872695,22.67355561880159,31.92372528843838,2.914196785571473,45.33178623815049,西部
2019,530924,0,0,12.71462463307733,9.355419683180413,.1518804152972811,24.32918146741793,30.05324442675159,2.919283101390585,40.99706026457619,西部
2020,530924,0,0,16.68153116192786,9.396147567529319,.1520877425834918,25.85615987155186,27.72456026012856,2.918851229218033,39.17668118266442,西部
2021,530924,0,0,15.45540709939768,9.104489891621864,.2111368770843543,26.02298383246628,30.12431351894118,2.923161580719156,25.76795015138775,西部
2022,530924,0,0,14.10677400561411,9.297271043954865,.1700795151889451,26.15562461122306,32.60196966760673,2.94443897916644,28.08761727680647,西部
2001,530925,0,0,10.98726114649681,6.557754442131098,.2062971175166297,55.58823529411765,13.23529411764706,2.772588722239781,33.16176470588236,西部
