county_code,lon,lat,name,level
230113,126.308784,45.377942,双城区,district
230123,129.565594,46.315105,依兰县,district
230124,128.836131,45.839536,方正县,district
230125,127.48594,45.759369,宾县,district
230126,127.403602,46.081889,巴彦县,district
230127,128.042675,45.949826,木兰县,district
230128,128.747786,45.977618,通河县,district
230129,128.331886,45.455648,延寿县,district
230183,127.968539,45.214953,尚志市,district
230184,127.15759,44.919418,五常市,district
230202,123.957338,47.341736,龙沙区,district
230203,123.955888,47.354494,建华区,district
230204,123.973555,47.339499,铁锋区,district
230205,123.813181,47.156867,昂昂溪区,district
230206,123.638873,47.20697,富拉尔基区,district
230207,122.887972,47.51401,碾子山区,district
230208,123.754599,47.311113,梅里斯达斡尔族区,district
230221,123.187225,47.336388,龙江县,district
230223,125.307561,47.890098,依安县,district
230224,123.41953,46.39233,泰来县,district
230225,123.506034,47.917838,甘南县,district
230227,124.469106,47.797172,富裕县,district
230229,125.874355,48.034342,克山县,district
230230,126.249094,48.03732,克东县,district
230231,126.091911,47.607363,拜泉县,district
230281,124.882172,48.481133,讷河市,district
230302,130.974374,45.30034,鸡冠区,district
230303,130.910636,45.213242,恒山区,district
230304,130.846823,45.348812,滴道区,district
230305,130.697781,45.092195,梨树区,district
230306,131.010501,45.338248,城子河区,district
230307,130.481126,45.209607,麻山区,district
230321,131.148907,45.250892,鸡东县,district
230381,132.973881,45.767985,虎林市,district
230382,131.874137,45.54725,密山市,district
230402,130.292478,47.345372,向阳区,district
230403,130.276652,47.331678,工农区,district
230404,130.275533,47.31324,南山区,district
230405,130.236169,47.252911,兴安区,district
230406,130.31714,47.337385,东山区,district
230407,130.30534,47.35997,兴山区,district
230421,130.829087,47.577577,萝北县,district
230422,131.860526,47.289892,绥滨县,district
230502,131.15896,46.642961,尖山区,district
230503,131.163675,46.591076,岭东区,district
230505,131.333181,46.594347,四方台区,district
230506,131.404294,46.573366,宝山区,district
230521,131.13933,46.72898,集贤县,district
230522,131.810622,46.775159,友谊县,district
230523,132.206415,46.328781,宝清县,district
230524,134.021162,46.801288,饶河县,district
230602,125.114643,46.596356,萨尔图区,district
230603,125.145794,46.573948,龙凤区,district
230604,124.868341,46.653254,让胡路区,district
230605,124.889528,46.403049,红岗区,district
230606,124.818509,46.034304,大同区,district
230621,125.273254,45.708685,肇州县,district
230622,125.081974,45.518832,肇源县,district
230623,124.877742,47.186411,林甸县,district
230624,124.446259,46.865973,杜尔伯特蒙古族自治县,district
230717,128.907303,47.728171,伊美区,district
230718,128.669859,47.726728,乌翠区,district
230719,128.84075,47.853778,友好区,district
230722,130.397684,48.891378,嘉荫县,district
230723,129.571108,48.454651,汤旺县,district
230724,129.5336,48.290455,丰林县,district
230725,129.020793,47.028397,大箐山县,district
230726,129.28246,47.137314,南岔县,district
230751,129.429117,47.413074,金林区,district
230781,128.030561,46.985772,铁力市,district
230803,130.361786,46.809645,向阳区,district
230804,130.377684,46.812345,前进区,district
230805,130.403297,46.822476,东风区,district
230811,130.351588,46.80712,郊区,district
230822,130.570112,46.240118,桦南县,district
230826,130.723713,47.023039,桦川县,district
230828,129.904463,46.730048,汤原县,district
230881,132.510119,47.651131,同江市,district
230882,132.037951,47.250747,富锦市,district
230883,134.294501,48.364707,抚远市,district
230902,130.889482,45.794258,新兴区,district
230903,131.015848,45.771217,桃山区,district
230904,131.071561,45.776587,茄子河区,district
230921,130.575025,45.751573,勃利县,district
231002,129.623292,44.582399,东安区,district
231003,129.634645,44.596328,阳明区,district
231004,129.601232,44.595443,爱民区,district
231005,129.61311,44.581032,西安区,district
231025,130.268402,45.286645,林口县,district
231081,131.164856,44.396864,绥芬河市,district
231083,129.387902,44.574149,海林市,district
231084,129.470019,44.346836,宁安市,district
231085,130.527085,44.91967,穆棱市,district
231086,131.125296,44.063578,东宁市,district
231102,127.497639,50.249027,爱辉区,district
231123,128.476152,49.582974,逊克县,district
231124,127.327315,49.423941,孙吴县,district
231181,126.508737,48.245437,北安市,district
231182,126.197694,48.512688,五大连池市,district
231183,125.229904,49.177461,嫩江市,district
231202,126.990665,46.634912,北林区,district
231221,126.484191,46.83352,望奎县,district
231222,126.289315,46.259037,兰西县,district
231223,126.112268,46.686596,青冈县,district
231224,127.510024,46.879203,庆安县,district
231225,125.907544,47.183527,明水县,district
231226,127.111121,47.247195,绥棱县,district
231281,125.329926,46.410614,安达市,district
231282,125.991402,46.069471,肇东市,district
231283,126.969383,47.460428,海伦市,district
232701,122.536256,52.972074,漠河市,district
232718,124.126716,50.424654,加格达奇区,district
232721,126.662105,51.726998,呼玛县,district
232722,124.710516,52.335229,塔河县,district
320205,120.357298,31.585559,锡山区,district
320206,120.303543,31.681019,惠山区,district
320211,120.266053,31.550228,滨湖区,district
320213,120.296595,31.575706,梁溪区,district
320214,120.352782,31.550966,新吴区,district
320281,120.275891,31.910984,江阴市,district
320282,119.820538,31.364384,宜兴市,district
320302,117.192941,34.269397,鼓楼区,district
320303,117.194589,34.254805,云龙区,district
320305,117.450212,34.441642,贾汪区,district
320311,117.182225,34.262249,泉山区,district
320312,117.183894,34.19288,铜山区,district
320321,116.592888,34.696946,丰县,district
320322,116.937182,34.729044,沛县,district
320324,117.95066,33.899222,睢宁县,district
320381,118.345828,34.368779,新沂市,district
320382,117.963923,34.314708,邳州市,district
320402,119.963783,31.779632,天宁区,district
320404,119.948388,31.78096,钟楼区,district
320411,119.974654,31.824664,新北区,district
320412,119.958773,31.718566,武进区,district
320413,119.573395,31.744399,金坛区,district
320481,119.487816,31.427081,溧阳市,district
320505,120.566833,31.294845,虎丘区,district
320506,120.624621,31.270839,吴中区,district
320507,120.618956,31.396684,相城区,district
320508,120.622249,31.311414,姑苏区,district
320509,120.641601,31.160404,吴江区,district
320581,120.74852,31.658156,常熟市,district
320582,120.543441,31.865553,张家港市,district
320583,120.958137,31.381925,昆山市,district
320585,121.112275,31.452568,太仓市,district
320602,120.86635,32.015278,崇川区,district
320612,121.073171,32.084287,通州区,district
320623,121.186088,32.311832,如东县,district
320681,121.659724,31.810158,启东市,district
320682,120.566324,32.391591,如皋市,district
320684,121.176609,31.893528,海门区,district
320685,120.465995,32.540288,海安市,district
320703,119.366487,34.739529,连云区,district
320706,119.179793,34.601584,海州区,district
320707,119.128774,34.839154,赣榆区,district
320722,118.766489,34.522859,东海县,district
320723,119.255741,34.298436,灌云县,district
320724,119.352331,34.092553,灌南县,district
320803,119.14634,33.507499,淮安区,district
320804,119.020817,33.622452,淮阴区,district
320812,119.019454,33.603234,清江浦区,district
320813,118.867875,33.294975,洪泽区,district
320826,119.266078,33.771308,涟水县,district
320830,118.493823,33.00439,盱眙县,district
320831,119.016936,33.018162,金湖县,district
320902,120.136078,33.383912,亭湖区,district
320903,120.139753,33.341288,盐都区,district
320904,120.470324,33.199531,大丰区,district
320921,119.579573,34.19996,响水县,district
320922,119.828434,33.989888,滨海县,district
